;PWL;TYPE;L2 English;L3 German;L4 French;L5 Swedish;L6 Danish;L7 Norwegian;L8 Finnish;L9 Italian;L10;L11;L12;L13;L14
g_MCfg.Outlet.CrossBeltNr[5];161;0;[T]Outlet:CrossBeltNr[5];[T]Outlet:CrossBeltNr[5];[T]Outlet:CrossBeltNr[5];[T]Outlet:CrossBeltNr[5];[T]Outlet:CrossBeltNr[5];[T]Outlet:CrossBeltNr[5];[T]Outlet:CrossBeltNr[5];[T]Outlet:CrossBeltNr[5];[T]Outlet:CrossBeltNr[5];[T]Outlet:CrossBeltNr[5];[T]Outlet:CrossBeltNr[5];[T]Outlet:CrossBeltNr[5];[T]Outlet:CrossBeltNr[5]
g_MCfg.Outlet.CrossBeltNr[6];162;0;[T]Outlet:CrossBeltNr[6];[T]Outlet:CrossBeltNr[6];[T]Outlet:CrossBeltNr[6];[T]Outlet:CrossBeltNr[6];[T]Outlet:CrossBeltNr[6];[T]Outlet:CrossBeltNr[6];[T]Outlet:CrossBeltNr[6];[T]Outlet:CrossBeltNr[6];[T]Outlet:CrossBeltNr[6];[T]Outlet:CrossBeltNr[6];[T]Outlet:CrossBeltNr[6];[T]Outlet:CrossBeltNr[6];[T]Outlet:CrossBeltNr[6]
g_MCfg.Outlet.CrossBeltNr[7];163;0;[T]Outlet:CrossBeltNr[7];[T]Outlet:CrossBeltNr[7];[T]Outlet:CrossBeltNr[7];[T]Outlet:CrossBeltNr[7];[T]Outlet:CrossBeltNr[7];[T]Outlet:CrossBeltNr[7];[T]Outlet:CrossBeltNr[7];[T]Outlet:CrossBeltNr[7];[T]Outlet:CrossBeltNr[7];[T]Outlet:CrossBeltNr[7];[T]Outlet:CrossBeltNr[7];[T]Outlet:CrossBeltNr[7];[T]Outlet:CrossBeltNr[7]
g_MCfg.Outlet.CrossBeltNr[8];164;0;[T]Outlet:CrossBeltNr[8];[T]Outlet:CrossBeltNr[8];[T]Outlet:CrossBeltNr[8];[T]Outlet:CrossBeltNr[8];[T]Outlet:CrossBeltNr[8];[T]Outlet:CrossBeltNr[8];[T]Outlet:CrossBeltNr[8];[T]Outlet:CrossBeltNr[8];[T]Outlet:CrossBeltNr[8];[T]Outlet:CrossBeltNr[8];[T]Outlet:CrossBeltNr[8];[T]Outlet:CrossBeltNr[8];[T]Outlet:CrossBeltNr[8]
g_MCfg.Outlet.CrossBeltNr[9];165;0;[T]Outlet:CrossBeltNr[9];[T]Outlet:CrossBeltNr[9];[T]Outlet:CrossBeltNr[9];[T]Outlet:CrossBeltNr[9];[T]Outlet:CrossBeltNr[9];[T]Outlet:CrossBeltNr[9];[T]Outlet:CrossBeltNr[9];[T]Outlet:CrossBeltNr[9];[T]Outlet:CrossBeltNr[9];[T]Outlet:CrossBeltNr[9];[T]Outlet:CrossBeltNr[9];[T]Outlet:CrossBeltNr[9];[T]Outlet:CrossBeltNr[9]
g_MCfg.Outlet.CrossBeltNr[10];166;0;[T]Outlet:CrossBeltNr[10];[T]Outlet:CrossBeltNr[10];[T]Outlet:CrossBeltNr[10];[T]Outlet:CrossBeltNr[10];[T]Outlet:CrossBeltNr[10];[T]Outlet:CrossBeltNr[10];[T]Outlet:CrossBeltNr[10];[T]Outlet:CrossBeltNr[10];[T]Outlet:CrossBeltNr[10];[T]Outlet:CrossBeltNr[10];[T]Outlet:CrossBeltNr[10];[T]Outlet:CrossBeltNr[10];[T]Outlet:CrossBeltNr[10]
g_MCfg.Outlet.StackChangeMode;167;0;[T]Outlet:StackChangeMode;[T]Outlet:StackChangeMode;[T]Outlet:StackChangeMode;[T]Outlet:StackChangeMode;[T]Outlet:StackChangeMode;[T]Outlet:StackChangeMode;[T]Outlet:StackChangeMode;[T]Outlet:StackChangeMode;[T]Outlet:StackChangeMode;[T]Outlet:StackChangeMode;[T]Outlet:StackChangeMode;[T]Outlet:StackChangeMode;[T]Outlet:StackChangeMode
g_MCfg.Outlet.StackChangeOnlyPrgChange;168;0;[F] Outlet:Only stack change at program change;[F] Outlet:Only stack change at program change;[F] Outlet:Only stack change at program change;[F] Outlet:Only stack change at program change;[F] Outlet:Only stack change at program change;[F] Outlet:Only stack change at program change;[F] Outlet:Only stack change at program change;[F] Outlet:Only stack change at program change;[F] Outlet:Only stack change at program change;[F] Outlet:Only stack change at program change;[F] Outlet:Only stack change at program change;[F] Outlet:Only stack change at program change;[F] Outlet:Only stack change at program change
g_MCfg.Outlet.StackSelectMode;169;0;[T] Outlet:StackSelectMode;[T] Outlet:StackSelectMode;[T] Outlet:StackSelectMode;[T] Outlet:StackSelectMode;[T] Outlet:StackSelectMode;[T] Outlet:StackSelectMode;[T] Outlet:StackSelectMode;[T] Outlet:StackSelectMode;[T] Outlet:StackSelectMode;[T] Outlet:StackSelectMode;[T] Outlet:StackSelectMode;[T] Outlet:StackSelectMode;[T] Outlet:StackSelectMode
g_MCfg.Outlet.ButtonPressTime;170;0;[T] Outlet:ButtonPressTime before indexing;[T] Outlet:ButtonPressTime before indexing;[T] Outlet:ButtonPressTime before indexing;[T] Outlet:ButtonPressTime before indexing;[T] Outlet:ButtonPressTime before indexing;[T] Outlet:ButtonPressTime before indexing;[T] Outlet:ButtonPressTime before indexing;[T] Outlet:ButtonPressTime before indexing;[T] Outlet:ButtonPressTime before indexing;[T] Outlet:ButtonPressTime before indexing;[T] Outlet:ButtonPressTime before indexing;[T] Outlet:ButtonPressTime before indexing;[T] Outlet:ButtonPressTime before indexing
g_MCfg.Outlet.ZeroValueStackChange;171;0;[T] Outlet:ZeroValueStackChange;[T] Outlet:ZeroValueStackChange;[T] Outlet:ZeroValueStackChange;[T] Outlet:ZeroValueStackChange;[T] Outlet:ZeroValueStackChange;[T] Outlet:ZeroValueStackChange;[T] Outlet:ZeroValueStackChange;[T] Outlet:ZeroValueStackChange;[T] Outlet:ZeroValueStackChange;[T] Outlet:ZeroValueStackChange;[T] Outlet:ZeroValueStackChange;[T] Outlet:ZeroValueStackChange;[T] Outlet:ZeroValueStackChange
g_MCfg.Delivery.Function;172;0;[F] Delivery:Function: 0=Accumulate, 1=Transport;[F] Delivery:Function: 0=Accumulate, 1=Transport;[F] Delivery:Function: 0=Accumulate, 1=Transport;[F] Delivery:Function: 0=Accumulate, 1=Transport;[F] Delivery:Function: 0=Accumulate, 1=Transport;[F] Delivery:Function: 0=Accumulate, 1=Transport;[F] Delivery:Function: 0=Accumulate, 1=Transport;[F] Delivery:Function: 0=Accumulate, 1=Transport;[F] Delivery:Function: 0=Accumulate, 1=Transport;[F] Delivery:Function: 0=Accumulate, 1=Transport;[F] Delivery:Function: 0=Accumulate, 1=Transport;[F] Delivery:Function: 0=Accumulate, 1=Transport;[F] Delivery:Function: 0=Accumulate, 1=Transport
g_MCfg.Delivery.CrossBeltRunTime;173;0;[T] Delivery:CrossBeltRunTime;[T] Delivery:CrossBeltRunTime;[T] Delivery:CrossBeltRunTime;[T] Delivery:CrossBeltRunTime;[T] Delivery:CrossBeltRunTime;[T] Delivery:CrossBeltRunTime;[T] Delivery:CrossBeltRunTime;[T] Delivery:CrossBeltRunTime;[T] Delivery:CrossBeltRunTime;[T] Delivery:CrossBeltRunTime;[T] Delivery:CrossBeltRunTime;[T] Delivery:CrossBeltRunTime;[T] Delivery:CrossBeltRunTime
g_MCfg.Delivery.CrossBeltOffSet;174;0;[T]Delivery:CrossBeltOffSet;[T]Delivery:CrossBeltOffSet;[T]Delivery:CrossBeltOffSet;[T]Delivery:CrossBeltOffSet;[T]Delivery:CrossBeltOffSet;[T]Delivery:CrossBeltOffSet;[T]Delivery:CrossBeltOffSet;[T]Delivery:CrossBeltOffSet;[T]Delivery:CrossBeltOffSet;[T]Delivery:CrossBeltOffSet;[T]Delivery:CrossBeltOffSet;[T]Delivery:CrossBeltOffSet;[T]Delivery:CrossBeltOffSet
g_MCfg.Delivery.ExitRunTime;175;0;[T] Delivery:ExitRunTime;[T] Delivery:ExitRunTime;[T] Delivery:ExitRunTime;[T] Delivery:ExitRunTime;[T] Delivery:ExitRunTime;[T] Delivery:ExitRunTime;[T] Delivery:ExitRunTime;[T] Delivery:ExitRunTime;[T] Delivery:ExitRunTime;[T] Delivery:ExitRunTime;[T] Delivery:ExitRunTime;[T] Delivery:ExitRunTime;[T] Delivery:ExitRunTime
g_MCfg.Jenway.InvertJenwayReady;176;0;[F] Jenway:InvertJenwayReady;[F] Jenway:InvertJenwayReady;[F] Jenway:InvertJenwayReady;[F] Jenway:InvertJenwayReady;[F] Jenway:InvertJenwayReady;[F] Jenway:InvertJenwayReady;[F] Jenway:InvertJenwayReady;[F] Jenway:InvertJenwayReady;[F] Jenway:InvertJenwayReady;[F] Jenway:InvertJenwayReady;[F] Jenway:InvertJenwayReady;[F] Jenway:InvertJenwayReady;[F] Jenway:InvertJenwayReady
g_MCfg.Jenway.BlockTimer;177;0;[T] Jenway:BlockTimer;[T] Jenway:BlockTimer;[T] Jenway:BlockTimer;[T] Jenway:BlockTimer;[T] Jenway:BlockTimer;[T] Jenway:BlockTimer;[T] Jenway:BlockTimer;[T] Jenway:BlockTimer;[T] Jenway:BlockTimer;[T] Jenway:BlockTimer;[T] Jenway:BlockTimer;[T] Jenway:BlockTimer;[T] Jenway:BlockTimer
g_MCfg.Metricon.UseExternalStatus;178;0;[T] Metricon:UseExternalStatus;[T] Metricon:UseExternalStatus;[T] Metricon:UseExternalStatus;[T] Metricon:UseExternalStatus;[T] Metricon:UseExternalStatus;[T] Metricon:UseExternalStatus;[T] Metricon:UseExternalStatus;[T] Metricon:UseExternalStatus;[T] Metricon:UseExternalStatus;[T] Metricon:UseExternalStatus;[T] Metricon:UseExternalStatus;[T] Metricon:UseExternalStatus;[T] Metricon:UseExternalStatus
g_MCfg.Metricon.DataExchangeMode;179;0;[T] Metricon:DataExchangeMode;[T] Metricon:DataExchangeMode;[T] Metricon:DataExchangeMode;[T] Metricon:DataExchangeMode;[T] Metricon:DataExchangeMode;[T] Metricon:DataExchangeMode;[T] Metricon:DataExchangeMode;[T] Metricon:DataExchangeMode;[T] Metricon:DataExchangeMode;[T] Metricon:DataExchangeMode;[T] Metricon:DataExchangeMode;[T] Metricon:DataExchangeMode;[T] Metricon:DataExchangeMode
g_MCfg.Metricon.ComMode;180;0;[T] Metricon:ComMode;[T] Metricon:ComMode;[T] Metricon:ComMode;[T] Metricon:ComMode;[T] Metricon:ComMode;[T] Metricon:ComMode;[T] Metricon:ComMode;[T] Metricon:ComMode;[T] Metricon:ComMode;[T] Metricon:ComMode;[T] Metricon:ComMode;[T] Metricon:ComMode;[T] Metricon:ComMode
g_MCfg.Metricon.AutoProgramUfo;181;0;[T] Metricon:AutoProgramUfo;[T] Metricon:AutoProgramUfo;[T] Metricon:AutoProgramUfo;[T] Metricon:AutoProgramUfo;[T] Metricon:AutoProgramUfo;[T] Metricon:AutoProgramUfo;[T] Metricon:AutoProgramUfo;[T] Metricon:AutoProgramUfo;[T] Metricon:AutoProgramUfo;[T] Metricon:AutoProgramUfo;[T] Metricon:AutoProgramUfo;[T] Metricon:AutoProgramUfo;[T] Metricon:AutoProgramUfo
g_MCfg.Metricon.UfoIsLastProgram;182;0;[F]Metricon:UfoIsLastProgram;[F]Metricon:UfoIsLastProgram;[F]Metricon:UfoIsLastProgram;[F]Metricon:UfoIsLastProgram;[F]Metricon:UfoIsLastProgram;[F]Metricon:UfoIsLastProgram;[F]Metricon:UfoIsLastProgram;[F]Metricon:UfoIsLastProgram;[F]Metricon:UfoIsLastProgram;[F]Metricon:UfoIsLastProgram;[F]Metricon:UfoIsLastProgram;[F]Metricon:UfoIsLastProgram;[F]Metricon:UfoIsLastProgram
g_MCfg.Metricon.BCD_RequestTime;183;0;[T] Metricon:BCD_RequestTime;[T] Metricon:BCD_RequestTime;[T] Metricon:BCD_RequestTime;[T] Metricon:BCD_RequestTime;[T] Metricon:BCD_RequestTime;[T] Metricon:BCD_RequestTime;[T] Metricon:BCD_RequestTime;[T] Metricon:BCD_RequestTime;[T] Metricon:BCD_RequestTime;[T] Metricon:BCD_RequestTime;[T] Metricon:BCD_RequestTime;[T] Metricon:BCD_RequestTime;[T] Metricon:BCD_RequestTime
g_MCfg.Metricon.BCD_ReadDelay;184;0;[T] Metricon:BCD_ReadDelay;[T] Metricon:BCD_ReadDelay;[T] Metricon:BCD_ReadDelay;[T] Metricon:BCD_ReadDelay;[T] Metricon:BCD_ReadDelay;[T] Metricon:BCD_ReadDelay;[T] Metricon:BCD_ReadDelay;[T] Metricon:BCD_ReadDelay;[T] Metricon:BCD_ReadDelay;[T] Metricon:BCD_ReadDelay;[T] Metricon:BCD_ReadDelay;[T] Metricon:BCD_ReadDelay;[T] Metricon:BCD_ReadDelay
g_MCfg.Metricon.BCD_HangerAwayDelay;185;0;[T] Metricon:BCD_HangerAwayDelay;[T] Metricon:BCD_HangerAwayDelay;[T] Metricon:BCD_HangerAwayDelay;[T] Metricon:BCD_HangerAwayDelay;[T] Metricon:BCD_HangerAwayDelay;[T] Metricon:BCD_HangerAwayDelay;[T] Metricon:BCD_HangerAwayDelay;[T] Metricon:BCD_HangerAwayDelay;[T] Metricon:BCD_HangerAwayDelay;[T] Metricon:BCD_HangerAwayDelay;[T] Metricon:BCD_HangerAwayDelay;[T] Metricon:BCD_HangerAwayDelay;[T] Metricon:BCD_HangerAwayDelay
g_MCfg.Metricon.BCD_RequestTries;186;0;[T] Metricon:BCD_RequestTries;[T] Metricon:BCD_RequestTries;[T] Metricon:BCD_RequestTries;[T] Metricon:BCD_RequestTries;[T] Metricon:BCD_RequestTries;[T] Metricon:BCD_RequestTries;[T] Metricon:BCD_RequestTries;[T] Metricon:BCD_RequestTries;[T] Metricon:BCD_RequestTries;[T] Metricon:BCD_RequestTries;[T] Metricon:BCD_RequestTries;[T] Metricon:BCD_RequestTries;[T] Metricon:BCD_RequestTries
g_MCfg.Accum.FullSensorOnTime;187;0;[T] Accum:FullSensorOnTime;[T] Accum:FullSensorOnTime;[T] Accum:FullSensorOnTime;[T] Accum:FullSensorOnTime;[T] Accum:FullSensorOnTime;[T] Accum:FullSensorOnTime;[T] Accum:FullSensorOnTime;[T] Accum:FullSensorOnTime;[T] Accum:FullSensorOnTime;[T] Accum:FullSensorOnTime;[T] Accum:FullSensorOnTime;[T] Accum:FullSensorOnTime;[T] Accum:FullSensorOnTime
g_MCfg.Accum.FullSensorOffTime;188;0;[T] Accum:FullSensorOffTime;[T] Accum:FullSensorOffTime;[T] Accum:FullSensorOffTime;[T] Accum:FullSensorOffTime;[T] Accum:FullSensorOffTime;[T] Accum:FullSensorOffTime;[T] Accum:FullSensorOffTime;[T] Accum:FullSensorOffTime;[T] Accum:FullSensorOffTime;[T] Accum:FullSensorOffTime;[T] Accum:FullSensorOffTime;[T] Accum:FullSensorOffTime;[T] Accum:FullSensorOffTime
g_MCfg.Accum.FullSensorOnPulse;189;0;[T] Accum:FullSensorOnPulse;[T] Accum:FullSensorOnPulse;[T] Accum:FullSensorOnPulse;[T] Accum:FullSensorOnPulse;[T] Accum:FullSensorOnPulse;[T] Accum:FullSensorOnPulse;[T] Accum:FullSensorOnPulse;[T] Accum:FullSensorOnPulse;[T] Accum:FullSensorOnPulse;[T] Accum:FullSensorOnPulse;[T] Accum:FullSensorOnPulse;[T] Accum:FullSensorOnPulse;[T] Accum:FullSensorOnPulse
g_MCfg.Accum.FullSensorOffPulse;190;0;[T] Accum:FullSensorOffPulse;[T] Accum:FullSensorOffPulse;[T] Accum:FullSensorOffPulse;[T] Accum:FullSensorOffPulse;[T] Accum:FullSensorOffPulse;[T] Accum:FullSensorOffPulse;[T] Accum:FullSensorOffPulse;[T] Accum:FullSensorOffPulse;[T] Accum:FullSensorOffPulse;[T] Accum:FullSensorOffPulse;[T] Accum:FullSensorOffPulse;[T] Accum:FullSensorOffPulse;[T] Accum:FullSensorOffPulse
g_MCfg.Accum.HangerAtPresenceProxTimeOut;191;0;[T] Accum:HangerAtPresenceProxTimeOut;[T] Accum:HangerAtPresenceProxTimeOut;[T] Accum:HangerAtPresenceProxTimeOut;[T] Accum:HangerAtPresenceProxTimeOut;[T] Accum:HangerAtPresenceProxTimeOut;[T] Accum:HangerAtPresenceProxTimeOut;[T] Accum:HangerAtPresenceProxTimeOut;[T] Accum:HangerAtPresenceProxTimeOut;[T] Accum:HangerAtPresenceProxTimeOut;[T] Accum:HangerAtPresenceProxTimeOut;[T] Accum:HangerAtPresenceProxTimeOut;[T] Accum:HangerAtPresenceProxTimeOut;[T] Accum:HangerAtPresenceProxTimeOut
g_MCfg.Accum.STFRestartTimeDelay;192;0;[T] Accum:STFRestartTimeDelay;[T] Accum:STFRestartTimeDelay;[T] Accum:STFRestartTimeDelay;[T] Accum:STFRestartTimeDelay;[T] Accum:STFRestartTimeDelay;[T] Accum:STFRestartTimeDelay;[T] Accum:STFRestartTimeDelay;[T] Accum:STFRestartTimeDelay;[T] Accum:STFRestartTimeDelay;[T] Accum:STFRestartTimeDelay;[T] Accum:STFRestartTimeDelay;[T] Accum:STFRestartTimeDelay;[T] Accum:STFRestartTimeDelay
g_MCfg.Accum.PreStoperDelay;193;0;[T] Accum:PreStoperDelay;[T] Accum:PreStoperDelay;[T] Accum:PreStoperDelay;[T] Accum:PreStoperDelay;[T] Accum:PreStoperDelay;[T] Accum:PreStoperDelay;[T] Accum:PreStoperDelay;[T] Accum:PreStoperDelay;[T] Accum:PreStoperDelay;[T] Accum:PreStoperDelay;[T] Accum:PreStoperDelay;[T] Accum:PreStoperDelay;[T] Accum:PreStoperDelay
g_MCfg.Accum.ProxFarNearTimeout;194;0;[T] Accum:ProxFarNearTimeout;[T] Accum:ProxFarNearTimeout;[T] Accum:ProxFarNearTimeout;[T] Accum:ProxFarNearTimeout;[T] Accum:ProxFarNearTimeout;[T] Accum:ProxFarNearTimeout;[T] Accum:ProxFarNearTimeout;[T] Accum:ProxFarNearTimeout;[T] Accum:ProxFarNearTimeout;[T] Accum:ProxFarNearTimeout;[T] Accum:ProxFarNearTimeout;[T] Accum:ProxFarNearTimeout;[T] Accum:ProxFarNearTimeout
g_MCfg.MF.CheckShirtDelay;195;0;[T] MF:CheckShirtDelay;[T] MF:CheckShirtDelay;[T] MF:CheckShirtDelay;[T] MF:CheckShirtDelay;[T] MF:CheckShirtDelay;[T] MF:CheckShirtDelay;[T] MF:CheckShirtDelay;[T] MF:CheckShirtDelay;[T] MF:CheckShirtDelay;[T] MF:CheckShirtDelay;[T] MF:CheckShirtDelay;[T] MF:CheckShirtDelay;[T] MF:CheckShirtDelay
g_MCfg.MF.CheckShirtOnTime;196;0;[T] MF:CheckShirtOnTime;[T] MF:CheckShirtOnTime;[T] MF:CheckShirtOnTime;[T] MF:CheckShirtOnTime;[T] MF:CheckShirtOnTime;[T] MF:CheckShirtOnTime;[T] MF:CheckShirtOnTime;[T] MF:CheckShirtOnTime;[T] MF:CheckShirtOnTime;[T] MF:CheckShirtOnTime;[T] MF:CheckShirtOnTime;[T] MF:CheckShirtOnTime;[T] MF:CheckShirtOnTime
g_MCfg.MF.DelayVacuum;197;0;[T] MF:DelayVacuum;[T] MF:DelayVacuum;[T] MF:DelayVacuum;[T] MF:DelayVacuum;[T] MF:DelayVacuum;[T] MF:DelayVacuum;[T] MF:DelayVacuum;[T] MF:DelayVacuum;[T] MF:DelayVacuum;[T] MF:DelayVacuum;[T] MF:DelayVacuum;[T] MF:DelayVacuum;[T] MF:DelayVacuum
g_MCfg.MF.StartnletBeltDelayTime;198;0;[T] MF:StartnletBeltDelayTime;[T] MF:StartnletBeltDelayTime;[T] MF:StartnletBeltDelayTime;[T] MF:StartnletBeltDelayTime;[T] MF:StartnletBeltDelayTime;[T] MF:StartnletBeltDelayTime;[T] MF:StartnletBeltDelayTime;[T] MF:StartnletBeltDelayTime;[T] MF:StartnletBeltDelayTime;[T] MF:StartnletBeltDelayTime;[T] MF:StartnletBeltDelayTime;[T] MF:StartnletBeltDelayTime;[T] MF:StartnletBeltDelayTime
g_MCfg.MF.AutoStartnletBeltDelayTime;199;0;[T] MF:AutoStartnletBeltDelayTime;[T] MF:AutoStartnletBeltDelayTime;[T] MF:AutoStartnletBeltDelayTime;[T] MF:AutoStartnletBeltDelayTime;[T] MF:AutoStartnletBeltDelayTime;[T] MF:AutoStartnletBeltDelayTime;[T] MF:AutoStartnletBeltDelayTime;[T] MF:AutoStartnletBeltDelayTime;[T] MF:AutoStartnletBeltDelayTime;[T] MF:AutoStartnletBeltDelayTime;[T] MF:AutoStartnletBeltDelayTime;[T] MF:AutoStartnletBeltDelayTime;[T] MF:AutoStartnletBeltDelayTime
g_MCfg.MF.AutoStartInletBelt;200;0;[F] MF:AutoStartInletBelt;[F] MF:AutoStartInletBelt;[F] MF:AutoStartInletBelt;[F] MF:AutoStartInletBelt;[F] MF:AutoStartInletBelt;[F] MF:AutoStartInletBelt;[F] MF:AutoStartInletBelt;[F] MF:AutoStartInletBelt;[F] MF:AutoStartInletBelt;[F] MF:AutoStartInletBelt;[F] MF:AutoStartInletBelt;[F] MF:AutoStartInletBelt;[F] MF:AutoStartInletBelt
g_MCfg.MF.ReachInfeedBeltEndPHTimeOut;201;0;[T] MF:ReachInfeedBeltEndPHTimeOut;[T] MF:ReachInfeedBeltEndPHTimeOut;[T] MF:ReachInfeedBeltEndPHTimeOut;[T] MF:ReachInfeedBeltEndPHTimeOut;[T] MF:ReachInfeedBeltEndPHTimeOut;[T] MF:ReachInfeedBeltEndPHTimeOut;[T] MF:ReachInfeedBeltEndPHTimeOut;[T] MF:ReachInfeedBeltEndPHTimeOut;[T] MF:ReachInfeedBeltEndPHTimeOut;[T] MF:ReachInfeedBeltEndPHTimeOut;[T] MF:ReachInfeedBeltEndPHTimeOut;[T] MF:ReachInfeedBeltEndPHTimeOut;[T] MF:ReachInfeedBeltEndPHTimeOut
g_MCfg.MF.KeySelected;202;0;[T] MF:KeySelected;[T] MF:KeySelected;[T] MF:KeySelected;[T] MF:KeySelected;[T] MF:KeySelected;[T] MF:KeySelected;[T] MF:KeySelected;[T] MF:KeySelected;[T] MF:KeySelected;[T] MF:KeySelected;[T] MF:KeySelected;[T] MF:KeySelected;[T] MF:KeySelected
g_MCfg.MF.ReachGarmentDetectPHTimeOut;203;0;[T] MF:ReachGarmentDetectPHTimeOut;[T] MF:ReachGarmentDetectPHTimeOut;[T] MF:ReachGarmentDetectPHTimeOut;[T] MF:ReachGarmentDetectPHTimeOut;[T] MF:ReachGarmentDetectPHTimeOut;[T] MF:ReachGarmentDetectPHTimeOut;[T] MF:ReachGarmentDetectPHTimeOut;[T] MF:ReachGarmentDetectPHTimeOut;[T] MF:ReachGarmentDetectPHTimeOut;[T] MF:ReachGarmentDetectPHTimeOut;[T] MF:ReachGarmentDetectPHTimeOut;[T] MF:ReachGarmentDetectPHTimeOut;[T] MF:ReachGarmentDetectPHTimeOut
g_MCfg.MF.InfeedBeltAirBlastOnTime;204;0;[T] MF:InfeedBeltAirBlastOnTime;[T] MF:InfeedBeltAirBlastOnTime;[T] MF:InfeedBeltAirBlastOnTime;[T] MF:InfeedBeltAirBlastOnTime;[T] MF:InfeedBeltAirBlastOnTime;[T] MF:InfeedBeltAirBlastOnTime;[T] MF:InfeedBeltAirBlastOnTime;[T] MF:InfeedBeltAirBlastOnTime;[T] MF:InfeedBeltAirBlastOnTime;[T] MF:InfeedBeltAirBlastOnTime;[T] MF:InfeedBeltAirBlastOnTime;[T] MF:InfeedBeltAirBlastOnTime;[T] MF:InfeedBeltAirBlastOnTime
g_MCfg.MF.InfeedBeltAirBlastDelay;205;0;[T] MF:InfeedBeltAirBlastDelay;[T] MF:InfeedBeltAirBlastDelay;[T] MF:InfeedBeltAirBlastDelay;[T] MF:InfeedBeltAirBlastDelay;[T] MF:InfeedBeltAirBlastDelay;[T] MF:InfeedBeltAirBlastDelay;[T] MF:InfeedBeltAirBlastDelay;[T] MF:InfeedBeltAirBlastDelay;[T] MF:InfeedBeltAirBlastDelay;[T] MF:InfeedBeltAirBlastDelay;[T] MF:InfeedBeltAirBlastDelay;[T] MF:InfeedBeltAirBlastDelay;[T] MF:InfeedBeltAirBlastDelay
g_MCfg.MF.ButtonSenistivityTime;206;0;[T] MF:ButtonSenistivityTime;[T] MF:ButtonSenistivityTime;[T] MF:ButtonSenistivityTime;[T] MF:ButtonSenistivityTime;[T] MF:ButtonSenistivityTime;[T] MF:ButtonSenistivityTime;[T] MF:ButtonSenistivityTime;[T] MF:ButtonSenistivityTime;[T] MF:ButtonSenistivityTime;[T] MF:ButtonSenistivityTime;[T] MF:ButtonSenistivityTime;[T] MF:ButtonSenistivityTime;[T] MF:ButtonSenistivityTime
g_MCfg.MF.ReleaseInfeedBeltJamTime;207;0;[T] MF:ReleaseInfeedBeltJamTime;[T] MF:ReleaseInfeedBeltJamTime;[T] MF:ReleaseInfeedBeltJamTime;[T] MF:ReleaseInfeedBeltJamTime;[T] MF:ReleaseInfeedBeltJamTime;[T] MF:ReleaseInfeedBeltJamTime;[T] MF:ReleaseInfeedBeltJamTime;[T] MF:ReleaseInfeedBeltJamTime;[T] MF:ReleaseInfeedBeltJamTime;[T] MF:ReleaseInfeedBeltJamTime;[T] MF:ReleaseInfeedBeltJamTime;[T] MF:ReleaseInfeedBeltJamTime;[T] MF:ReleaseInfeedBeltJamTime
g_MCfg.MF.KeyStackIndex;208;0;[T] MF:KeyStackIndex;[T] MF:KeyStackIndex;[T] MF:KeyStackIndex;[T] MF:KeyStackIndex;[T] MF:KeyStackIndex;[T] MF:KeyStackIndex;[T] MF:KeyStackIndex;[T] MF:KeyStackIndex;[T] MF:KeyStackIndex;[T] MF:KeyStackIndex;[T] MF:KeyStackIndex;[T] MF:KeyStackIndex;[T] MF:KeyStackIndex
g_MCfg.MF.KeyProgIndex;209;0;[T] MF:KeyProgIndex;[T] MF:KeyProgIndex;[T] MF:KeyProgIndex;[T] MF:KeyProgIndex;[T] MF:KeyProgIndex;[T] MF:KeyProgIndex;[T] MF:KeyProgIndex;[T] MF:KeyProgIndex;[T] MF:KeyProgIndex;[T] MF:KeyProgIndex;[T] MF:KeyProgIndex;[T] MF:KeyProgIndex;[T] MF:KeyProgIndex
g_MCfg.MF.KeyConfig[0].KeyStackIndex;210;0;[T] MF:KeyConfig[0]KeyStackIndex;[T] MF:KeyConfig[0]KeyStackIndex;[T] MF:KeyConfig[0]KeyStackIndex;[T] MF:KeyConfig[0]KeyStackIndex;[T] MF:KeyConfig[0]KeyStackIndex;[T] MF:KeyConfig[0]KeyStackIndex;[T] MF:KeyConfig[0]KeyStackIndex;[T] MF:KeyConfig[0]KeyStackIndex;[T] MF:KeyConfig[0]KeyStackIndex;[T] MF:KeyConfig[0]KeyStackIndex;[T] MF:KeyConfig[0]KeyStackIndex;[T] MF:KeyConfig[0]KeyStackIndex;[T] MF:KeyConfig[0]KeyStackIndex
g_MCfg.MF.KeyConfig[0].KeyProgIndex;211;0;[T] MF:KeyConfig[0]KeyProgIndex;[T] MF:KeyConfig[0]KeyProgIndex;[T] MF:KeyConfig[0]KeyProgIndex;[T] MF:KeyConfig[0]KeyProgIndex;[T] MF:KeyConfig[0]KeyProgIndex;[T] MF:KeyConfig[0]KeyProgIndex;[T] MF:KeyConfig[0]KeyProgIndex;[T] MF:KeyConfig[0]KeyProgIndex;[T] MF:KeyConfig[0]KeyProgIndex;[T] MF:KeyConfig[0]KeyProgIndex;[T] MF:KeyConfig[0]KeyProgIndex;[T] MF:KeyConfig[0]KeyProgIndex;[T] MF:KeyConfig[0]KeyProgIndex
